Pod type,Pod flavor,vCPU Request (vCore),vCPU Limit (vCore),vMemory (GB),Hugepage (GB),Persistent Volume (GB),Package
DPP,medium-tdd-regular-spr,56,56,18.94,42.31,"2(shared-pvc), 40(shared-log-pvc)",25A
DPP,fdd-270m-18c-gsm-6trx-spr,52,52,22.04,42.7,"2(shared-pvc), 40(shared-log-pvc)",25A
DIP,medium-1.8m-spr,1,2,12,N/A,"2(shared-pvc), 40(shared-log-pvc)",N/A
DIP,medium-uni,2,3,12,N/A,"2(shared-pvc), 40(shared-log-pvc)",25A
DMP,medium-uni,0.2,2,2,N/A,"2(db-pvc), 4(shared-pvc), 40(shared-log-pvc)",25A
CMP,medium-uni,0.2,2,2,N/A,"4(shared-pvc), 40(shared-log-pvc)",25A
PMP,medium-uni,0.1,2,2,N/A,"4(shared-pvc), 40(shared-log-pvc)",25A
RMP,medium-uni,0.5,2,2,N/A,"4(shared-pvc), 40(shared-log-pvc)",25A
IPP,medium,4,4,2,2,"2(shared-pvc), 40(shared-log-pvc)",25A
DPP,small-tdd,54,54,17.74,22.61,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-uni-light-spr-enterprise,56,56,19.54,58.2,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-uni-light-gnr-hcc,72,72,19.54,58.2,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-uni-regular-gnr-xcc,134,134,19.54,58.2,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-uni-regular-spr ,56,56,23.94,51.72,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-regular-spr-t1,25,25,19.14,30.36,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-uni-regular-spr-t11,56,56,23.54,46.32,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-uni-light-spr ,56,56,19.54,58.2,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-tdd-regular-spr-t11,58,58,19.24,32.73,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-tdd-light-db-9c,56,56,17.94,30.23,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-uni-enterprise,56,56,27.84,40.83,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-uni-xaca,54,54,27.14,45,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-tdd-light-100m12c,54,54,18.14,34.8,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,small-tdd-light-6c,56,56,17.84,26.47,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,tdd-240m-12c,54,54,18.74,43,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,fdd-180m-12c,24,24,18.74,33,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium,40,40,20.84,31.23,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-icl,54,54,21.14,42.29,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-uni,56,56,31.14,38.72,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-slim-gsm,50,50,27.04,32.67,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-slim-t3,38,38,20.04,26.87,"2(shared-pvc), 40(shared-log-pvc)",25B
DPP,medium-slim-gsm-spr,46,46,22.14,45.27,"2(shared-pvc), 40(shared-log-pvc)",N/A
DPP,medium-regular-spr-t20,46,46,21.94,57.9,"2(shared-pvc), 40(shared-log-pvc)",N/A
